Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
COST;USD;USD;Costco Wholesale Corp;2;0.01;156;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;21.79469;979.2;980.76;Consumer Defensive;Discount Stores;0.02222224601329581
CPRT;USD;USD;Copart Inc;2;0.01;3;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;1.964772;47.93;47.96;Industrials;Specialty Business Services;0.040966889074228525
CROX;USD;USD;Crocs Inc;2;0.01;89;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;3.841881;98.0;98.89;Consumer Cyclical;Footwear & Accessories;0.038850045505106685
CRWD;USD;USD;Crowdstrike Holdings Inc;2;0.01;69;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;17.136096;475.23;475.92;Technology;Software - Infrastructure;0.036006253151790214
CSGP;USD;USD;CoStar Group Inc;2;0.01;6;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;2.025932;79.58;79.64;Real Estate;Real Estate Services;0.025438623807132094
CSX;USD;USD;CSX Corp;2;0.01;1;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;0.631892;32.05;32.06;Industrials;Railroads;0.019709669369931376
CTAS;USD;USD;Cintas Corp;2;0.01;23;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;2.474927;218.41;218.64;Industrials;Specialty Business Services;0.011319644163922431
CTSH;USD;USD;Cognizant Technology Solutions;2;0.01;2;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;1.166169;75.44;75.46;Technology;Information Technology Services;0.015454134640869336
DBX;USD;USD;Dropbox Inc;2;0.01;2;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;0.54593;28.68;28.7;Technology;Software - Infrastructure;0.019021951219512195
DDOG;USD;USD;Datadog Inc;2;0.01;8;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;3.687999;127.44;127.52;Technology;Software - Application;0.02892094573400251
DLTR;USD;USD;Dollar Tree Inc;2;0.01;6;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;5.601893;98.71;98.77;Consumer Defensive;Discount Stores;0.056716543484863824
DNLI;USD;USD;Denali Therapeutics Inc;2;0.01;10;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;0.639524;13.76;13.86;Healthcare;Biotechnology;0.04614170274170274
DOCU;USD;USD;DocuSign Inc;2;0.01;39;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;5.991848;74.81;75.2;Technology;Software - Application;0.07967882978723403
DOX;USD;USD;Amdocs Ltd;2;0.01;31;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;1.361852;91.1;91.41;Technology;Software - Infrastructure;0.014898282463625425
DXCM;USD;USD;Dexcom Inc;2;0.01;10;0.01;0.01;1.0;4;2;1.0;100000.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-7.0;-858993459;5;5;0.0;1.866843;79.96;80.06;Healthcare;Diagnostics & Research;0.023318048963277542
